Level,Theme,Set,SetTitle,Vietnamese,Japanese,Source
"A2","食事・買い物","2","味と調理","nướng","焼く・あぶる","draft"
"A2","食事・買い物","2","味と調理","hấp","蒸す","draft"
"A2","食事・買い物","2","味と調理","kho","煮詰める","draft"
"A2","食事・買い物","2","味と調理","cắt","切る","draft"
"A2","食事・買い物","2","味と調理","gọt","皮をむく","draft"
"A2","食事・買い物","2","味と調理","trộn","混ぜ合わせる","draft"
"A2","食事・買い物","2","味と調理","nếm","味見する","draft"
"A2","食事・買い物","3","外食する","thực đơn","メニュー","draft"
"A2","食事・買い物","3","外食する","gọi món","料理を注文する","draft"
"A2","食事・買い物","3","外食する","hóa đơn","請求書・伝票","draft"
"A2","食事・買い物","3","外食する","thanh toán","支払いをする","draft"
"A2","食事・買い物","3","外食する","tiền mặt","現金","draft"
"A2","食事・買い物","3","外食する","thẻ","カード","draft"
"A2","食事・買い物","3","外食する","tiền thừa","お釣り","draft"
"A2","食事・買い物","3","外食する","đặt bàn","席を予約する","draft"
"A2","食事・買い物","3","外食する","phục vụ","接客する","draft"
"A2","食事・買い物","3","外食する","khách","客","draft"
"A2","食事・買い物","3","外食する","bữa sáng","朝食","draft"
"A2","食事・買い物","3","外食する","bữa trưa","昼食","draft"
"A2","食事・買い物","3","外食する","bữa tối","夕食","draft"
"A2","食事・買い物","3","外食する","món ăn","料理・一品","draft"
"A2","食事・買い物","3","外食する","suất ăn","食事1人前","draft"
"A2","食事・買い物","3","外食する","ăn chay","菜食する","draft"
"A2","食事・買い物","3","外食する","mang về","持ち帰る","draft"
"A2","食事・買い物","3","外食する","nước mắm","魚醤","draft"
"A2","食事・買い物","3","外食する","nước tương","しょうゆ","draft"
"A2","食事・買い物","3","外食する","gia vị","調味料","draft"
"A2","食事・買い物","4","値段と買い物","giá","値段","legacy-match"
"A2","食事・買い物","4","値段と買い物","đắt","値段が高い","legacy-match"
"A2","食事・買い物","4","値段と買い物","rẻ","安い","legacy-match"
"A2","食事・買い物","4","値段と買い物","giảm giá","値下げ・割引","legacy-match"
"A2","食事・買い物","4","値段と買い物","khuyến mãi","販売促進キャンペーン","draft"
"A2","食事・買い物","4","値段と買い物","mặc cả","値切る","draft"
"A2","食事・買い物","4","値段と買い物","đổi","交換する","draft"
"A2","食事・買い物","4","値段と買い物","trả lại","返品する","draft"
"A2","食事・買い物","4","値段と買い物","thử","試す","draft"
"A2","食事・買い物","4","値段と買い物","vừa","サイズが合う","draft"
"A2","食事・買い物","4","値段と買い物","chật","きつい・窮屈な","draft"
"A2","食事・買い物","4","値段と買い物","cỡ","サイズ","draft"
"A2","食事・買い物","4","値段と買い物","loại","種類","draft"
"A2","食事・買い物","4","値段と買い物","chất lượng","品質","draft"
"A2","食事・買い物","4","値段と買い物","số lượng","数量","draft"
"A2","食事・買い物","4","値段と買い物","cân","重さを量る","draft"
"A2","食事・買い物","4","値段と買い物","ki lô gam","キログラム","draft"
"A2","食事・買い物","4","値段と買い物","lít","リットル","draft"
"A2","食事・買い物","4","値段と買い物","chai","瓶","draft"
"A2","食事・買い物","4","値段と買い物","hộp","箱","draft"
"A2","食事・買い物","5","日用品と道具","xà phòng","せっけん","draft"
"A2","食事・買い物","5","日用品と道具","dầu gội","シャンプー","draft"
"A2","食事・買い物","5","日用品と道具","kem đánh răng","歯磨き粉","draft"
"A2","食事・買い物","5","日用品と道具","bàn chải","ブラシ","draft"
"A2","食事・買い物","5","日用品と道具","giấy vệ sinh","トイレットペーパー","draft"
"A2","食事・買い物","5","日用品と道具","khăn giấy","ティッシュ","draft"
"A2","食事・買い物","5","日用品と道具","bột giặt","洗剤の粉","draft"
"A2","食事・買い物","5","日用品と道具","nước rửa bát","食器用洗剤","draft"
"A2","食事・買い物","5","日用品と道具","chổi","ほうき","draft"
"A2","食事・買い物","5","日用品と道具","thùng rác","ごみ箱","draft"
"A2","食事・買い物","5","日用品と道具","túi ni lông","ビニール袋","draft"
"A2","食事・買い物","5","日用品と道具","pin","電池","draft"
"A2","食事・買い物","5","日用品と道具","dây sạc","充電ケーブル","draft"
"A2","食事・買い物","5","日用品と道具","ổ cắm","コンセント","draft"
"A2","食事・買い物","5","日用品と道具","kéo","はさみ","draft"
"A2","食事・買い物","5","日用品と道具","dao","包丁・ナイフ","draft"
"A2","食事・買い物","5","日用品と道具","nồi","鍋","draft"
"A2","食事・買い物","5","日用品と道具","chảo","フライパン","draft"
"A2","食事・買い物","5","日用品と道具","ấm đun nước","やかん","draft"
"A2","食事・買い物","5","日用品と道具","nồi cơm điện","炊飯器","draft"
"A2","旅行・移動","1","旅の準備","du lịch","旅行する","draft"
"A2","旅行・移動","1","旅の準備","chuyến đi","旅行・外出の一回","draft"
"A2","旅行・移動","1","旅の準備","hành lý","荷物","legacy-match"
"A2","旅行・移動","1","旅の準備","hộ chiếu","パスポート","draft"
"A2","旅行・移動","1","旅の準備","thị thực","ビザ","draft"
"A2","旅行・移動","1","旅の準備","đặt vé","チケットを予約する","draft"
"A2","旅行・移動","1","旅の準備","vé khứ hồi","往復切符","draft"
"A2","旅行・移動","1","旅の準備","vé một chiều","片道切符","legacy-match"
"A2","旅行・移動","1","旅の準備","lịch trình","旅程","draft"
"A2","旅行・移動","1","旅の準備","khởi hành","出発する","draft"
"A2","旅行・移動","1","旅の準備","điểm đến","目的地","draft"
"A2","旅行・移動","1","旅の準備","quốc tế","国際的な","draft"
"A2","旅行・移動","1","旅の準備","nội địa","国内の","draft"
"A2","旅行・移動","1","旅の準備","sân ga","プラットホーム","draft"
"A2","旅行・移動","1","旅の準備","cổng","門・ゲート","draft"
"A2","旅行・移動","1","旅の準備","chuyến bay","便（飛行機）","legacy-match"
"A2","旅行・移動","1","旅の準備","cất cánh","離陸する","draft"
"A2","旅行・移動","1","旅の準備","hạ cánh","着陸する","draft"
"A2","旅行・移動","1","旅の準備","hải quan","税関","draft"
"A2","旅行・移動","1","旅の準備","kiểm tra","検査する","draft"
"A2","旅行・移動","2","道案内","rẽ","曲がる","draft"
"A2","旅行・移動","2","道案内","đi thẳng","まっすぐ行く","draft"
"A2","旅行・移動","2","道案内","quay lại","引き返す","draft"
"A2","旅行・移動","2","道案内","bên cạnh","隣に","draft"
"A2","旅行・移動","2","道案内","đối diện","向かい側に","draft"
"A2","旅行・移動","2","道案内","gần","近い","legacy-match"
"A2","旅行・移動","2","道案内","xa","遠い","draft"
"A2","旅行・移動","2","道案内","giữa","間・中央に","draft"
"A2","旅行・移動","2","道案内","trước","前に","draft"
"A2","旅行・移動","2","道案内","sau","後ろに","draft"
"A2","旅行・移動","2","道案内","ngã tư","交差点（四つ角）","legacy-match"
"A2","旅行・移動","2","道案内","ngã ba","三叉路","draft"
"A2","旅行・移動","2","道案内","đèn giao thông","信号機","draft"
"A2","旅行・移動","2","道案内","vỉa hè","歩道","draft"
"A2","旅行・移動","2","道案内","lối đi","通路","draft"
"A2","旅行・移動","2","道案内","lối vào","入口","draft"
"A2","旅行・移動","2","道案内","lối ra","出口","draft"
"A2","旅行・移動","2","道案内","biển báo","標識","draft"
"A2","旅行・移動","2","道案内","phương hướng","方角","draft"
"A2","旅行・移動","2","道案内","vị trí","位置","draft"
"A2","旅行・移動","3","交通と乗車","taxi","タクシー","draft"
"A2","旅行・移動","3","交通と乗車","tàu điện","電車","draft"
"A2","旅行・移動","3","交通と乗車","tàu điện ngầm","地下鉄","draft"
"A2","旅行・移動","3","交通と乗車","phà","フェリー","draft"
"A2","旅行・移動","3","交通と乗車","xe khách","長距離バス","draft"
"A2","旅行・移動","3","交通と乗車","xe ôm","バイクタクシー","draft"
"A2","旅行・移動","3","交通と乗車","tài xế","運転手","draft"
"A2","旅行・移動","3","交通と乗車","hành khách","乗客","draft"
"A2","旅行・移動","3","交通と乗車","bến","乗り場","draft"
"A2","旅行・移動","3","交通と乗車","trạm xe buýt","バス停","draft"
"A2","旅行・移動","3","交通と乗車","tuyến","路線","draft"
"A2","旅行・移動","3","交通と乗車","số hiệu","番号・識別番号","draft"
"A2","旅行・移動","3","交通と乗車","lên xe","乗車する","draft"
"A2","旅行・移動","3","交通と乗車","xuống xe","降車する","draft"
"A2","旅行・移動","3","交通と乗車","chuyển tàu","電車を乗り換える","draft"
"A2","旅行・移動","3","交通と乗車","tắc đường","渋滞","draft"
"A2","旅行・移動","3","交通と乗車","đỗ xe","駐車する","draft"
"A2","旅行・移動","3","交通と乗車","bãi đỗ xe","駐車場","draft"
"A2","旅行・移動","3","交通と乗車","xăng","ガソリン","draft"
"A2","旅行・移動","3","交通と乗車","mũ bảo hiểm","ヘルメット","draft"
"A2","旅行・移動","4","宿泊する","đặt phòng","部屋を予約する","draft"
"A2","旅行・移動","4","宿泊する","lễ tân","受付係","draft"
"A2","旅行・移動","4","宿泊する","nhận phòng","チェックインする","draft"
"A2","旅行・移動","4","宿泊する","trả phòng","チェックアウトする","draft"
"A2","旅行・移動","4","宿泊する","phòng đơn","シングルルーム","draft"
"A2","旅行・移動","4","宿泊する","phòng đôi","ダブルルーム","draft"
"A2","旅行・移動","4","宿泊する","giường đôi","ダブルベッド","draft"
"A2","旅行・移動","4","宿泊する","chăn","掛け布団","draft"
"A2","旅行・移動","4","宿泊する","gối","枕","draft"
"A2","旅行・移動","4","宿泊する","ga trải giường","ベッドシーツ","draft"
"A2","旅行・移動","4","宿泊する","thang máy","エレベーター","draft"
"A2","旅行・移動","4","宿泊する","tầng trệt","地上階","draft"
"A2","旅行・移動","4","宿泊する","nước nóng","お湯","draft"
"A2","旅行・移動","4","宿泊する","wifi","Wi-Fi","draft"
"A2","旅行・移動","4","宿泊する","mật khẩu","パスワード","draft"
"A2","旅行・移動","4","宿泊する","dịch vụ","サービス","draft"
"A2","旅行・移動","4","宿泊する","bao gồm","含む","draft"
"A2","旅行・移動","4","宿泊する","miễn phí","無料の","draft"
"A2","旅行・移動","4","宿泊する","tiền đặt cọc","保証金・手付金","draft"
"A2","旅行・移動","4","宿泊する","yên tĩnh","静かな","draft"
"A2","旅行・移動","5","観光と自然","tham quan","見学・観光する","draft"
"A2","旅行・移動","5","観光と自然","di tích","史跡","draft"
"A2","旅行・移動","5","観光と自然","bảo tàng","博物館","draft"
"A2","旅行・移動","5","観光と自然","chùa","仏教寺院","draft"
"A2","旅行・移動","5","観光と自然","đền","神を祭る社","draft"
"A2","旅行・移動","5","観光と自然","nhà thờ","教会","draft"
"A2","旅行・移動","5","観光と自然","bãi biển","海水浴場・浜辺","draft"
"A2","旅行・移動","5","観光と自然","đảo","島","draft"
"A2","旅行・移動","5","観光と自然","thác nước","滝","draft"
"A2","旅行・移動","5","観光と自然","hang động","洞窟","draft"
"A2","旅行・移動","5","観光と自然","rừng","森林","draft"
"A2","旅行・移動","5","観光と自然","đồi","丘","draft"
"A2","旅行・移動","5","観光と自然","làng","村","draft"
"A2","旅行・移動","5","観光と自然","thành phố","都市","draft"
"A2","旅行・移動","5","観光と自然","quê","故郷","draft"
"A2","旅行・移動","5","観光と自然","phong cảnh","風景","draft"
"A2","旅行・移動","5","観光と自然","chụp ảnh","写真を撮る","draft"
"A2","旅行・移動","5","観光と自然","hướng dẫn viên","観光ガイド","draft"
"A2","旅行・移動","5","観光と自然","quà lưu niệm","お土産品","draft"
"A2","旅行・移動","5","観光と自然","nổi tiếng","有名な","draft"
"A2","暮らし・健康","1","家事と住まい","thuê","借りる（有料で）","draft"
"A2","暮らし・健康","1","家事と住まい","chuyển nhà","引っ越す","draft"
"A2","暮らし・健康","1","家事と住まい","căn hộ","アパートの住戸","draft"
"A2","暮らし・健康","1","家事と住まい","chủ nhà","大家","draft"
"A2","暮らし・健康","1","家事と住まい","tiền thuê","家賃・レンタル料","draft"
"A2","暮らし・健康","1","家事と住まい","hợp đồng","契約","draft"
"A2","暮らし・健康","1","家事と住まい","sửa","直す","draft"
"A2","暮らし・健康","1","家事と住まい","hỏng","故障した","draft"
"A2","暮らし・健康","1","家事と住まい","điện","電気","draft"
"A2","暮らし・健康","1","家事と住まい","mất điện","停電する","draft"
"A2","暮らし・健康","1","家事と住まい","nước máy","水道水","draft"
"A2","暮らし・健康","1","家事と住まい","rò rỉ","漏れる","draft"
"A2","暮らし・健康","1","家事と住まい","lau","拭く","draft"
"A2","暮らし・健康","1","家事と住まい","quét","掃く","draft"
"A2","暮らし・健康","1","家事と住まい","hút bụi","掃除機をかける","draft"
"A2","暮らし・健康","1","家事と住まい","phơi","干す","draft"
"A2","暮らし・健康","1","家事と住まい","gấp","折り畳む","draft"
"A2","暮らし・健康","1","家事と住まい","là quần áo","服にアイロンをかける","draft"
"A2","暮らし・健康","1","家事と住まい","đổ rác","ごみを捨てる","draft"
"A2","暮らし・健康","1","家事と住まい","tưới cây","植物に水をやる","draft"
"A2","暮らし・健康","2","体の詳しい名前","ngực","胸","draft"
"A2","暮らし・健康","2","体の詳しい名前","tim","心臓","draft"
"A2","暮らし・健康","2","体の詳しい名前","phổi","肺","draft"
"A2","暮らし・健康","2","体の詳しい名前","da","皮膚","draft"
"A2","暮らし・健康","2","体の詳しい名前","máu","血","draft"
"A2","暮らし・健康","2","体の詳しい名前","xương","骨","draft"
"A2","暮らし・健康","2","体の詳しい名前","ngón tay","手の指","draft"
"A2","暮らし・健康","2","体の詳しい名前","ngón chân","足の指","draft"
"A2","暮らし・健康","2","体の詳しい名前","bàn tay","手のひらを含む手","draft"
"A2","暮らし・健康","2","体の詳しい名前","bàn chân","足首から先の足","draft"
"A2","暮らし・健康","2","体の詳しい名前","đầu gối","膝","draft"
"A2","暮らし・健康","2","体の詳しい名前","khuỷu tay","肘","draft"
"A2","暮らし・健康","2","体の詳しい名前","cổ tay","手首","draft"
"A2","暮らし・健康","2","体の詳しい名前","cổ chân","足首","draft"
"A2","暮らし・健康","2","体の詳しい名前","môi","唇","draft"
"A2","暮らし・健康","2","体の詳しい名前","lưỡi","舌","draft"
"A2","暮らし・健康","2","体の詳しい名前","họng","喉","draft"
"A2","暮らし・健康","2","体の詳しい名前","trán","額","draft"
"A2","暮らし・健康","2","体の詳しい名前","má","頬","draft"
"A2","暮らし・健康","2","体の詳しい名前","cằm","あご","draft"
"A2","暮らし・健康","3","症状と診察","bệnh","病気","draft"
"A2","暮らし・健康","3","症状と診察","sốt","発熱する","draft"
"A2","暮らし・健康","3","症状と診察","ho","せきをする","draft"
"A2","暮らし・健康","3","症状と診察","đau đầu","頭痛がする","draft"
"A2","暮らし・健康","3","症状と診察","đau bụng","腹痛がする","draft"
"A2","暮らし・健康","3","症状と診察","đau họng","喉が痛い","draft"
"A2","暮らし・健康","3","症状と診察","sổ mũi","鼻水が出る","draft"
"A2","暮らし・健康","3","症状と診察","chóng mặt","めまいがする","draft"
"A2","暮らし・健康","3","症状と診察","buồn nôn","吐き気がする","draft"
"A2","暮らし・健康","3","症状と診察","dị ứng","アレルギー","draft"
"A2","暮らし・健康","3","症状と診察","vết thương","傷","draft"
"A2","暮らし・健康","3","症状と診察","thuốc","薬","draft"
"A2","暮らし・健康","3","症状と診察","nhà thuốc","薬局","draft"
"A2","暮らし・健康","3","症状と診察","y tá","看護師","draft"
"A2","暮らし・健康","3","症状と診察","khám bệnh","診察を受ける・する","draft"
"A2","暮らし・健康","3","症状と診察","bệnh nhân","患者","draft"
"A2","暮らし・健康","3","症状と診察","đơn thuốc","処方箋","draft"
"A2","暮らし・健康","3","症状と診察","nghỉ ngơi","休養する","draft"
"A2","暮らし・健康","3","症状と診察","uống thuốc","薬を飲む","draft"
"A2","暮らし・健康","3","症状と診察","cấp cứu","救急","draft"
"A2","暮らし・健康","4","健康的な毎日","tập thể dục","運動する","draft"
"A2","暮らし・健康","4","健康的な毎日","đi dạo","散歩する","draft"
"A2","暮らし・健康","4","健康的な毎日","chạy bộ","ジョギングする","draft"
"A2","暮らし・健康","4","健康的な毎日","bơi","泳ぐ","draft"
"A2","暮らし・健康","4","健康的な毎日","nghỉ","休む","draft"
"A2","暮らし・健康","4","健康的な毎日","thở","呼吸する","draft"
"A2","暮らし・健康","4","健康的な毎日","cân nặng","体重","draft"
"A2","暮らし・健康","4","健康的な毎日","chiều cao","身長","draft"
"A2","暮らし・健康","4","健康的な毎日","sức khỏe","健康","legacy-match"
"A2","暮らし・健康","4","健康的な毎日","thói quen","習慣","draft"
"A2","暮らし・健康","4","健康的な毎日","ngủ trưa","昼寝する","draft"
"A2","暮らし・健康","4","健康的な毎日","thức khuya","夜更かしする","draft"
"A2","暮らし・健康","4","健康的な毎日","dậy sớm","早起きする","draft"
"A2","暮らし・健康","4","健康的な毎日","đều đặn","規則的に","draft"
"A2","暮らし・健康","4","健康的な毎日","hằng ngày","毎日","draft"
"A2","暮らし・健康","4","健康的な毎日","đủ","十分な","draft"
"A2","暮らし・健康","4","健康的な毎日","thiếu","不足する","draft"
"A2","暮らし・健康","4","健康的な毎日","quá","～すぎる","draft"
"A2","暮らし・健康","4","健康的な毎日","an toàn","安全な","draft"
"A2","暮らし・健康","4","健康的な毎日","nguy hiểm","危険な","draft"
"A2","暮らし・健康","5","天気と季節の暮らし","thời tiết","天気","draft"
"A2","暮らし・健康","5","天気と季節の暮らし","nhiệt độ","温度","draft"
"A2","暮らし・健康","5","天気と季節の暮らし","độ","度（温度など）","draft"
"A2","暮らし・健康","5","天気と季節の暮らし","ẩm","湿った","draft"
"A2","暮らし・健康","5","天気と季節の暮らし","khô","乾いた","draft"
"A2","暮らし・健康","5","天気と季節の暮らし","ướt","ぬれた","draft"
"A2","暮らし・健康","5","天気と季節の暮らし","bão","台風・暴風雨","draft"
"A2","暮らし・健康","5","天気と季節の暮らし","sấm","雷鳴","draft"
"A2","暮らし・健康","5","天気と季節の暮らし","chớp","稲光","draft"
"A2","暮らし・健康","5","天気と季節の暮らし","sương mù","霧","draft"
"A2","暮らし・健康","5","天気と季節の暮らし","mưa phùn","霧雨","draft"
"A2","暮らし・健康","5","天気と季節の暮らし","mưa rào","にわか雨","draft"
"A2","暮らし・健康","5","天気と季節の暮らし","cầu vồng","虹","draft"
"A2","暮らし・健康","5","天気と季節の暮らし","rét","厳しく寒い","draft"
"A2","暮らし・健康","5","天気と季節の暮らし","oi","蒸し暑い","draft"
"A2","暮らし・健康","5","天気と季節の暮らし","dự báo","予報","draft"
"A2","暮らし・健康","5","天気と季節の暮らし","mùa mưa","雨季","draft"
"A2","暮らし・健康","5","天気と季節の暮らし","mùa khô","乾季","draft"
"A2","暮らし・健康","5","天気と季節の暮らし","ô nhiễm","汚染","legacy-match"
"A2","暮らし・健康","5","天気と季節の暮らし","không khí","空気","draft"
"A2","学習・仕事","1","学習を進める","ôn tập","復習する","draft"
"A2","学習・仕事","1","学習を進める","luyện tập","練習する","draft"
"A2","学習・仕事","1","学習を進める","ghi chép","書き留める","draft"
"A2","学習・仕事","1","学習を進める","tra từ điển","辞書を引く","draft"
"A2","学習・仕事","1","学習を進める","dịch","翻訳する","draft"
"A2","学習・仕事","1","学習を進める","phát âm","発音する","draft"
"A2","学習・仕事","1","学習を進める","ngữ pháp","文法","draft"
"A2","学習・仕事","1","学習を進める","từ vựng","語彙","draft"
"A2","学習・仕事","1","学習を進める","chữ cái","文字・アルファベット","draft"
"A2","学習・仕事","1","学習を進める","thanh điệu","声調","draft"
"A2","学習・仕事","1","学習を進める","âm tiết","音節","draft"
"A2","学習・仕事","1","学習を進める","ý nghĩa","意味","draft"
"A2","学習・仕事","1","学習を進める","ví dụ","例","draft"
"A2","学習・仕事","1","学習を進める","giải thích","説明する","draft"
"A2","学習・仕事","1","学習を進める","nhắc lại","繰り返して言う","draft"
"A2","学習・仕事","1","学習を進める","nộp bài","課題を提出する","draft"
"A2","学習・仕事","1","学習を進める","kỳ thi","試験","draft"
"A2","学習・仕事","1","学習を進める","điểm số","点数","draft"
"A2","学習・仕事","1","学習を進める","kết quả","結果","legacy-match"
"A2","学習・仕事","1","学習を進める","tiến bộ","進歩する","draft"
"A2","学習・仕事","2","学校で使う言葉","môn học","科目","draft"
"A2","学習・仕事","2","学校で使う言葉","toán","数学","draft"
"A2","学習・仕事","2","学校で使う言葉","lịch sử","歴史","draft"
"A2","学習・仕事","2","学校で使う言葉","địa lý","地理","draft"
"A2","学習・仕事","2","学校で使う言葉","văn học","文学","draft"
"A2","学習・仕事","2","学校で使う言葉","khoa học","科学","draft"
"A2","学習・仕事","2","学校で使う言葉","âm nhạc","音楽","draft"
"A2","学習・仕事","2","学校で使う言葉","mỹ thuật","美術","draft"
"A2","学習・仕事","2","学校で使う言葉","thư viện","図書館","draft"
"A2","学習・仕事","2","学校で使う言葉","sân trường","校庭","draft"
"A2","学習・仕事","2","学校で使う言葉","hiệu trưởng","校長","draft"
"A2","学習・仕事","2","学校で使う言葉","bạn cùng lớp","クラスメート","draft"
"A2","学習・仕事","2","学校で使う言葉","học kỳ","学期","draft"
"A2","学習・仕事","2","学校で使う言葉","thời khóa biểu","時間割","draft"
"A2","学習・仕事","2","学校で使う言葉","giờ nghỉ","休憩時間","draft"
"A2","学習・仕事","2","学校で使う言葉","bằng cấp","学位・資格証書","draft"
"A2","学習・仕事","2","学校で使う言葉","tốt nghiệp","卒業する","draft"
"A2","学習・仕事","2","学校で使う言葉","đại học","大学","draft"
"A2","学習・仕事","2","学校で使う言葉","trung học","中等教育","draft"
"A2","学習・仕事","2","学校で使う言葉","tiểu học","小学校教育","draft"
"A2","学習・仕事","3","職業と働く場所","công việc","仕事","legacy-match"
"A2","学習・仕事","3","職業と働く場所","nghề","職業","draft"
"A2","学習・仕事","3","職業と働く場所","công ty","会社","draft"
"A2","学習・仕事","3","職業と働く場所","văn phòng","オフィス","draft"
"A2","学習・仕事","3","職業と働く場所","nhà máy","工場","draft"
"A2","学習・仕事","3","職業と働く場所","cửa hiệu","商店","draft"
"A2","学習・仕事","3","職業と働く場所","đồng nghiệp","同僚","legacy-match"
"A2","学習・仕事","3","職業と働く場所","sếp","上司","draft"
"A2","学習・仕事","3","職業と働く場所","kỹ sư","エンジニア","draft"
"A2","学習・仕事","3","職業と働く場所","đầu bếp","料理人","draft"
"A2","学習・仕事","3","職業と働く場所","công nhân","工員","draft"
"A2","学習・仕事","3","職業と働く場所","nông dân","農民","draft"
"A2","学習・仕事","3","職業と働く場所","cảnh sát","警察官","draft"
"A2","学習・仕事","3","職業と働く場所","lính cứu hỏa","消防士","draft"
"A2","学習・仕事","3","職業と働く場所","luật sư","弁護士","draft"
"A2","学習・仕事","3","職業と働く場所","ca sĩ","歌手","draft"
"A2","学習・仕事","3","職業と働く場所","diễn viên","俳優","draft"
"A2","学習・仕事","3","職業と働く場所","nhà báo","記者","draft"
"A2","学習・仕事","3","職業と働く場所","thợ sửa xe","車両修理工","draft"
"A2","学習・仕事","3","職業と働く場所","người bán hàng","販売員","draft"
"A2","学習・仕事","4","職場の基本動作","bắt đầu","始める","draft"
"A2","学習・仕事","4","職場の基本動作","kết thúc","終える","draft"
"A2","学習・仕事","4","職場の基本動作","hoàn thành","完成させる","draft"
"A2","学習・仕事","4","職場の基本動作","chuẩn bị","準備する","draft"
"A2","学習・仕事","4","職場の基本動作","giúp","助ける","draft"
"A2","学習・仕事","4","職場の基本動作","gửi","送る","draft"
"A2","学習・仕事","4","職場の基本動作","nhận","受け取る","draft"
"A2","学習・仕事","4","職場の基本動作","gọi điện","電話する","draft"
"A2","学習・仕事","4","職場の基本動作","họp","会議をする","draft"
"A2","学習・仕事","4","職場の基本動作","làm thêm","追加で働く・アルバイトする","draft"
"A2","学習・仕事","4","職場の基本動作","nghỉ phép","休暇を取る","draft"
"A2","学習・仕事","4","職場の基本動作","lương","給料","draft"
"A2","学習・仕事","4","職場の基本動作","giờ làm","勤務時間","draft"
"A2","学習・仕事","4","職場の基本動作","ngày nghỉ","休日","draft"
"A2","学習・仕事","4","職場の基本動作","cuộc họp","会議","legacy-match"
"A2","学習・仕事","4","職場の基本動作","tài liệu","資料","draft"
"A2","学習・仕事","4","職場の基本動作","máy in","プリンター","draft"
"A2","学習・仕事","4","職場の基本動作","in","印刷する","draft"
"A2","学習・仕事","4","職場の基本動作","sao chép","コピーする","draft"
"A2","学習・仕事","4","職場の基本動作","ký tên","署名する","draft"
"A2","学習・仕事","5","スマホと連絡","ứng dụng","アプリ","draft"
"A2","学習・仕事","5","スマホと連絡","tin nhắn","メッセージ","draft"
"A2","学習・仕事","5","スマホと連絡","thư điện tử","電子メール","draft"
"A2","学習・仕事","5","スマホと連絡","màn hình","画面","draft"
"A2","学習・仕事","5","スマホと連絡","bàn phím","キーボード","draft"
"A2","学習・仕事","5","スマホと連絡","chuột máy tính","マウス","draft"
"A2","学習・仕事","5","スマホと連絡","mạng","ネットワーク","draft"
"A2","学習・仕事","5","スマホと連絡","trang web","ウェブページ","draft"
"A2","学習・仕事","5","スマホと連絡","đường dẫn","リンク","draft"
"A2","学習・仕事","5","スマホと連絡","tải xuống","ダウンロードする","draft"
"A2","学習・仕事","5","スマホと連絡","tải lên","アップロードする","draft"
"A2","学習・仕事","5","スマホと連絡","đăng nhập","ログインする","draft"
"A2","学習・仕事","5","スマホと連絡","đăng xuất","ログアウトする","draft"
"A2","学習・仕事","5","スマホと連絡","tài khoản","アカウント","draft"
"A2","学習・仕事","5","スマホと連絡","lưu","保存する","draft"
"A2","学習・仕事","5","スマホと連絡","xóa","削除する","draft"
"A2","学習・仕事","5","スマホと連絡","chọn","選ぶ","draft"
"A2","学習・仕事","5","スマホと連絡","nhấn","押す","draft"
"A2","学習・仕事","5","スマホと連絡","kết nối","接続する","draft"
"A2","学習・仕事","5","スマホと連絡","sạc","充電する","draft"
"A2","交流・趣味","1","気持ちを伝える","hạnh phúc","幸せな","draft"
"A2","交流・趣味","1","気持ちを伝える","lo lắng","心配する","legacy-match"
"A2","交流・趣味","1","気持ちを伝える","tức giận","腹を立てる","draft"
"A2","交流・趣味","1","気持ちを伝える","ngạc nhiên","驚く","legacy-match"
"A2","交流・趣味","1","気持ちを伝える","hào hứng","わくわくした","draft"
"A2","交流・趣味","1","気持ちを伝える","chán","退屈した","draft"
"A2","交流・趣味","1","気持ちを伝える","cô đơn","孤独な","draft"
"A2","交流・趣味","1","気持ちを伝える","xấu hổ","恥ずかしい","draft"
"A2","交流・趣味","1","気持ちを伝える","tự tin","自信がある","draft"
"A2","交流・趣味","1","気持ちを伝える","bình tĩnh","落ち着いた","draft"
"A2","交流・趣味","1","気持ちを伝える","thất vọng","失望した","draft"
"A2","交流・趣味","1","気持ちを伝える","hài lòng","満足した","draft"
"A2","交流・趣味","1","気持ちを伝える","hy vọng","希望する","legacy-match"
"A2","交流・趣味","1","気持ちを伝える","quan tâm","関心を持つ","draft"
"A2","交流・趣味","1","気持ちを伝える","tin","信じる","draft"
"A2","交流・趣味","1","気持ちを伝える","nghĩ","考える","draft"
"A2","交流・趣味","1","気持ちを伝える","cảm thấy","感じる","draft"
"A2","交流・趣味","1","気持ちを伝える","cười","笑う","draft"
"A2","交流・趣味","1","気持ちを伝える","khóc","泣く","draft"
"A2","交流・趣味","1","気持ちを伝える","mỉm cười","ほほ笑む","draft"
"A2","交流・趣味","2","人柄と関係","thân thiện","親しみやすい","draft"
"A2","交流・趣味","2","人柄と関係","tốt bụng","親切な","draft"
"A2","交流・趣味","2","人柄と関係","vui tính","陽気な","draft"
"A2","交流・趣味","2","人柄と関係","nghiêm túc","真面目な","draft"
"A2","交流・趣味","2","人柄と関係","chăm chỉ","勤勉な","draft"
"A2","交流・趣味","2","人柄と関係","lười","怠惰な","draft"
"A2","交流・趣味","2","人柄と関係","thông minh","賢い","draft"
"A2","交流・趣味","2","人柄と関係","lịch sự","礼儀正しい","draft"
"A2","交流・趣味","2","人柄と関係","thật thà","正直な","draft"
"A2","交流・趣味","2","人柄と関係","kiên nhẫn","忍耐強い","draft"
